LLM,DiscriminativeEvaluatorKeywordLevel: avg. accuracy,DiscriminativeEvaluatorKeywordLevel: avg. num_kws,DiscriminativeEvaluatorKeywordLevel: num,DiscriminativeEvaluatorSentenceLevel: avg. accuracy,DiscriminativeEvaluatorSentenceLevel: num,GenerativeEvaluator: avg. bleu-4,GenerativeEvaluator: avg. rouge-L,GenerativeEvaluator: avg. keywordsPrecision,GenerativeEvaluator: avg. bertScore,GenerativeEvaluator: avg. length,GenerativeEvaluator: num,SelectiveEvaluator: accuracy,SelectiveEvaluator: num
Aquila_34B_Chat,0.5362149323294794,3.0008066684592634,3719,0.4986025154721501,5009,0.11801827313777039,0.06035197445693341,0.3435653965839351,0.6750860603086897,43.762962962962966,5130,0.5429497568881686,4319
Baichuan2_13B_Chat,0.5162926157510794,3.1277355962483253,4478,0.46879334257975036,5047,0.08843802406559056,0.06958047188805104,0.25510709454435676,0.6569208342945555,46.04400547623704,5113,0.5023391812865498,5130
Baichuan2_53B_Chat,0.521346618357488,2.9794685990338166,1656,0.5081190798376184,1478,0.10063108023173696,0.07553186744335323,0.26452760413793286,0.676469664400308,49.400833984884024,3837,0.5467026783704704,4443
ChatGLM2_6B_Chat,0.5079797155514104,3.102354861273024,4289,0.43869395711500975,5130,0.0916542041435432,0.07170248892119445,0.24531329709954464,0.6489275628719136,46.27483313702395,5094,0.4358674463937622,5130
InternLM_20B_Chat,0.5091613491340019,3.096171376481313,4388,0.5101364522417154,5130,0.148858589044804,0.07957580705730814,0.31096478264875616,0.6792035814610923,51.545756097560975,5125,0.49434697855750487,5130
Qwen_14B_Chat,0.5286046598183715,3.125055828494864,4478,0.5057504873294347,5130,0.12720688777429795,0.0653741178049788,0.3295483600050014,0.6696435450751607,45.85209756097561,5125,0.5473684210526316,5130
Xinyu_70B_Chat,0.5293786256135656,3.1249442213297636,4482,0.5504095163806553,5128,0.1341232938845917,0.07051008832452062,0.3392776619211565,0.6896906418119491,51.1046783625731,5130,0.5792552154416065,5129
Xinyu_7B_Chat,0.49581180259117774,3.1237924062008537,4451,0.48663741523733545,5014,0.10295495615763324,0.06524369403859452,0.2863630809483034,0.6731671843604421,49.84491763760546,4978,0.5058479532163743,5130
gpt-3.5-turbo,0.537184237787872,3.0781735596461868,4183,0.5001984520738242,5039,0.09023452516712993,0.06304691333225709,0.2774200618760704,0.6639110104574358,39.03540519276161,5084,0.49029982363315694,5103
gpt-4-0613,0.7004451219512197,3.0673170731707318,4100,0.5742436305732485,5024,0.107397237250773,0.07194815997949691,0.28470058687840255,0.6735638755131758,44.40692894891368,5109,0.5520110957004161,5047
gpt-4-1106-preview,,,,,,,,,,,,0.6666666666666666,3
