LLM,DOC,GEN,KNO,NUM
ChatGLM2_6B_Chat,0.4555735056542811,0.4423076923076923,0.409375,0.4262767710049423
InternLM_20B_Chat,0.5064620355411955,0.4956293706293706,0.51875,0.4843492586490939
gpt-3.5-turbo,0.510586319218241,0.4763157894736842,0.5520504731861199,0.478494623655914
Xinyu_7B_Chat,0.5201938610662359,0.5087412587412588,0.484375,0.5
Qwen_14B_Chat,0.5735056542810986,0.5314685314685315,0.628125,0.5308896210873146
Baichuan2_13B_Chat,0.5210016155088854,0.48426573426573427,0.5375,0.49670510708401977
gpt-4-0613,0.5599022004889975,0.5193321616871704,0.5987460815047022,0.5573423614049936
Xinyu_70B_Chat,0.6147011308562197,0.5445804195804196,0.63125,0.5706633704161517
Aquila_34B_Chat,0.5497131931166348,0.5374358974358975,0.5955056179775281,0.535204332840965
gpt-4-1106-preview,0.6018916595012898,0.5477064220183486,0.6872964169381107,0.6204379562043796
Baichuan2_53B_Chat,0.5745721271393643,0.5625615763546798,0.5770491803278689,0.5258134490238612
